city,lat,lng,country,iso2,admin,capital,population,population_proper
Qila Saifullāh,30.700766,68.359843,Pakistan,PK,Balochistān,minor,,
Shikārpur,27.957057,68.637886,Pakistan,PK,Sindh,minor,,
Panjgūr,26.971861,64.094594,Pakistan,PK,Balochistān,minor,,
Mastung,29.799656,66.845527,Pakistan,PK,Balochistān,minor,,
Kalāt,29.026629,66.593607,Pakistan,PK,Balochistān,minor,,
Gandāvā,28.613207,67.485643,Pakistan,PK,Balochistān,minor,,
Khānewāl,30.301731,71.932124,Pakistan,PK,Punjab,minor,,
Nārowāl,32.1,74.883333,Pakistan,PK,Punjab,minor,,
Khairpur,27.529483,68.761698,Pakistan,PK,Sindh,minor,,
Malakand,34.565609,71.930432,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Vihāri,30.033333,72.35,Pakistan,PK,Punjab,minor,,
Saidu Sharif,34.746548,72.355675,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Jhelum,32.934484,73.731018,Pakistan,PK,Punjab,minor,,
Mandi Bahāuddīn,32.587037,73.491231,Pakistan,PK,Punjab,minor,,
Bhakkar,31.625247,71.06574,Pakistan,PK,Punjab,minor,,
Toba Tek Singh,30.974326,72.482694,Pakistan,PK,Punjab,minor,,
Jāmshoro,25.436078,68.280172,Pakistan,PK,Sindh,minor,,
Khārān,28.584585,65.415007,Pakistan,PK,Balochistān,minor,,
Umarkot,25.36157,69.736241,Pakistan,PK,Sindh,minor,,
Hangu,33.53198,71.059499,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Timargara,34.826595,71.844226,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Gākuch,36.176826,73.763834,Pakistan,PK,Gilgit-Baltistan,minor,,
Jacobābād,28.281873,68.437613,Pakistan,PK,Sindh,minor,,
Alpūrai,34.920577,72.632556,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Miānwāli,32.574095,71.526386,Pakistan,PK,Punjab,minor,,
Mūsa Khel Bāzār,30.859443,69.82208,Pakistan,PK,Balochistān,minor,,
Naushahro Fīroz,26.840104,68.122651,Pakistan,PK,Sindh,minor,,
New Mīrpur,33.147815,73.751867,Pakistan,PK,Azad Kashmir,minor,,
Daggar,34.511059,72.484375,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Eidgāh,35.347115,74.856317,Pakistan,PK,Gilgit-Baltistan,minor,,
Sibi,29.542989,67.87726,Pakistan,PK,Balochistān,minor,,
Dālbandīn,28.888456,64.406156,Pakistan,PK,Balochistān,minor,,
Rājanpur,29.103513,70.325038,Pakistan,PK,Punjab,minor,,
Leiah,30.961279,70.939043,Pakistan,PK,Punjab,minor,,
Upper Dir,35.207398,71.876801,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Tando Muhammad Khān,25.123007,68.535773,Pakistan,PK,Sindh,minor,,
Attock City,33.76671,72.359766,Pakistan,PK,Punjab,minor,,
Rāwala Kot,33.857816,73.760426,Pakistan,PK,Azad Kashmir,minor,,
Swābi,34.120181,72.46982,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Kandhkot,28.243963,69.182354,Pakistan,PK,Sindh,minor,,
Dasu,35.291687,73.290602,Pakistan,PK,Khyber Pakhtunkhwa,minor,,
Athmuqam,34.571733,73.897236,Pakistan,PK,Azad Kashmir,minor,,
